0  0.96919709  0.03084765
1  0.96897018  0.03107547
2  0.96320921  0.03684428
3  0.97291088  0.02712832
4  0.95948637  0.04057078
5  0.95200562  0.04805929
6  0.97314721  0.02688738
7  0.96308786  0.0369633 
8  0.92279869  0.07720287
9  0.80833542  0.19176134
10 0.19466417  0.80535126
11  0.06777935  0.93213803
12  0.04176998  0.95816839
13  0.03109738  0.96885467
14  0.02549979  0.97445089
15  0.01936476  0.98061758
16  0.01665742  0.98330045
17  0.0165496   0.98342198
18  0.01533915  0.9846431 
19  0.01600712  0.98396885
